Date,Closing Price
2022-02-28,134.89
2022-03-01,134.17
2022-03-02,134.75
2022-03-03,134.31
2022-03-04,132.12
2022-03-07,126.46
2022-03-08,127.28
2022-03-09,133.87
2022-03-10,132.68
2022-03-11,130.48
2022-03-14,126.74
2022-03-15,129.66
2022-03-16,133.69
2022-03-17,134.60
2022-03-18,136.80
2022-03-21,136.48
2022-03-22,140.28
2022-03-23,138.50
2022-03-24,141.31
2022-03-25,141.52
2022-03-28,141.95
2022-03-29,143.25
2022-03-30,142.64
2022-03-31,139.65
2022-04-01,140.70
2022-04-04,143.64
2022-04-05,141.06
2022-04-06,137.18
2022-04-07,136.47
2022-04-08,134.01
2022-04-11,129.80
2022-04-12,128.37
2022-04-13,130.29
2022-04-14,127.25
2022-04-18,127.96
2022-04-19,130.53
2022-04-20,128.25
2022-04-21,124.94
2022-04-22,119.61
2022-04-25,123.25
2022-04-26,119.51
2022-04-27,115.02
2022-04-28,119.41
2022-04-29,114.97
2022-05-02,117.16
2022-05-03,118.13
2022-05-04,122.58
2022-05-05,116.75
2022-05-06,115.66
2022-05-09,113.08
2022-05-10,114.58
2022-05-11,113.96
2022-05-12,113.16
2022-05-13,116.52
2022-05-16,114.79
2022-05-17,116.70
2022-05-18,112.40
2022-05-19,110.75
2022-05-20,109.31
2022-05-23,111.67
2022-05-24,105.93
2022-05-25,105.84
2022-05-26,108.30
2022-05-27,112.80
2022-05-31,114.04
2022-06-01,114.14
2022-06-02,117.75
2022-06-03,114.56
2022-06-06,117.01
2022-06-07,117.23
2022-06-08,117.24
2022-06-09,114.92
2022-06-10,111.43
2022-06-13,106.88
2022-06-14,107.19
2022-06-15,110.39
2022-06-16,106.64
2022-06-17,107.87
2022-06-21,112.02
2022-06-22,112.03
2022-06-23,112.68
2022-06-24,118.54
2022-06-27,116.62
2022-06-28,112.57
2022-06-29,112.26
2022-06-30,109.37
2022-07-01,109.08
2022-07-05,113.89
2022-07-06,115.21
2022-07-07,119.31
2022-07-08,120.17
2022-07-11,116.52
2022-07-12,114.85
2022-07-13,112.19
2022-07-14,111.44
2022-07-15,112.77
2022-07-18,109.91
2022-07-19,114.62
2022-07-20,114.70
2022-07-21,115.04
2022-07-22,108.36
2022-07-25,108.21
2022-07-26,105.44
2022-07-27,113.60
2022-07-28,114.59
2022-07-29,116.64
2022-08-01,115.48
2022-08-02,115.90
2022-08-03,118.78
2022-08-04,118.87
2022-08-05,118.22
2022-08-08,118.14
2022-08-09,117.50
2022-08-10,120.65
2022-08-11,119.82
2022-08-12,122.65
2022-08-15,122.88
2022-08-16,122.51
2022-08-17,120.32
2022-08-18,120.86
2022-08-19,118.12
2022-08-22,115.07
2022-08-23,114.77
2022-08-24,114.70
2022-08-25,117.70
2022-08-26,111.30
2022-08-29,110.34
2022-08-30,109.91
2022-08-31,109.15
2022-09-01,110.55
2022-09-02,108.68
2022-09-06,107.48
2022-09-07,110.48
2022-09-08,109.42
2022-09-09,111.78
2022-09-12,111.87
2022-09-13,105.31
2022-09-14,105.87
2022-09-15,103.90
2022-09-16,103.63
2022-09-19,103.85
2022-09-20,101.83
2022-09-21,100.01
2022-09-22,100.57
2022-09-23,99.17
2022-09-26,98.81
2022-09-27,98.09
2022-09-28,100.74
2022-09-29,98.09
2022-09-30,96.15
2022-10-03,99.30
2022-10-04,102.41
2022-10-05,102.22
2022-10-06,102.24
2022-10-07,99.57
2022-10-10,98.71
2022-10-11,98.05
2022-10-12,98.30
2022-10-13,99.71
2022-10-14,97.18
2022-10-17,100.78
2022-10-18,101.39
2022-10-19,100.29
2022-10-20,100.53
2022-10-21,101.48
2022-10-24,102.97
2022-10-25,104.93
2022-10-26,94.82
2022-10-27,92.60
2022-10-28,96.58
2022-10-31,94.66
2022-11-01,90.50
2022-11-02,87.07
2022-11-03,83.49
2022-11-04,86.70
2022-11-07,88.65
2022-11-08,88.91
2022-11-09,87.40
2022-11-10,94.17
2022-11-11,96.73
2022-11-14,96.03
2022-11-15,98.72
2022-11-16,98.99
2022-11-17,98.50
2022-11-18,97.80
2022-11-21,95.83
2022-11-22,97.33
2022-11-23,98.82
2022-11-25,97.60
2022-11-28,96.25
2022-11-29,95.44
2022-11-30,101.45
2022-12-01,101.28
2022-12-02,100.83
2022-12-05,99.87
2022-12-06,97.31
2022-12-07,95.15
2022-12-08,93.95
2022-12-09,93.07
2022-12-12,93.56
2022-12-13,95.85
2022-12-14,95.31
2022-12-15,91.20
2022-12-16,90.86
2022-12-19,89.15
2022-12-20,89.63
2022-12-21,90.25
2022-12-22,88.26
2022-12-23,89.81
2022-12-27,87.93
2022-12-28,86.46
2022-12-29,88.95
2022-12-30,88.73
2023-01-03,89.70
2023-01-04,88.71
2023-01-05,86.77
2023-01-06,88.16
2023-01-09,88.80
2023-01-10,89.24
2023-01-11,92.26
2023-01-12,91.91
2023-01-13,92.80
2023-01-17,92.16
2023-01-18,91.78
2023-01-19,93.91
2023-01-20,99.28
2023-01-23,101.21
2023-01-24,99.21
2023-01-25,96.73
2023-01-26,99.16
2023-01-27,100.71
2023-01-30,97.95
2023-01-31,99.87
2023-02-01,101.43
2023-02-02,108.80
2023-02-03,105.22
2023-02-06,103.47
2023-02-07,108.04
2023-02-08,100.00
2023-02-09,95.46
2023-02-10,94.86
2023-02-13,95.00
2023-02-14,94.95
2023-02-15,97.10
2023-02-16,95.78
2023-02-17,94.59
2023-02-21,92.05
2023-02-22,91.80
2023-02-23,91.07
2023-02-24,89.35
2023-02-27,90.10
